INPUT:text_id	INPUT:text
0	قبل التحاقه بالسلك الدبلوماسي عمل صحافيا وناشطا في مجال حقوق الإنسان في باريس بفرنسا. ثم عمل مدير تنفيذي للغرفة الفرنسية للتجارة الأميركية في هيوستن بولاية تكساس. التحق إيرلي بالسلك الدبلوماسي في عام 1989. عمل في العديد من المناصب المتعلقة بالدبلوماسية العامة في الشرق الأوسط. شملت المناصب السابقة التي عمل فيها مواقع في مجال الدبلوماسية العامة في مصر وسوريا وإثيوبيا واليمن. عمل مدير لمكتب الإعلام والشئون العامة في إدارة الشرق الأدنى ومدير مكتب العلاقات الإعلامية في إدارة الشئون العامة. عين نائب السفير الأميركي في قطر من 2000 إلى 2003. ثم نائب المتحدث الرسمي باسم وزارة الخارجية الأميركية من 2003 إلى 2006. عين مستشار أعلى لوكيلة وزارة الخارجية للدبلوماسية العامة والاتصالات الخارجية في يوليو 2006 المعني بترسيخ وجود المسئولين الأميركيين في وسائل الإعلام الدولية والتأكد من التنسيق بينهم في دعم السياسة الخارجية الأميركية ودعم رؤية أميركا. عين سفير للولايات المتحدة لدى مملكة البحرين في 28 أغسطس 2007 حتى 30 يونيو 2011.
1	في علم التشريح، الجؤجؤ (بالإنجليزية: Carina)‏ هو سلسلة من الغضاريف في القصبة الهوائية التي تحدث بين تقسيم الشعب الهوائية الرئيسية. يحدث هذا عند الطرف السفلي من القصبة الهوائية (عادة عند مستوى الفقرة الصدرية الرابعة، التي تتماشى مع زاوية القصبة، ولكنها قد ترفع أو تنحدر إلى فقرتين أعلى أو أقل مع التنفس). هذه الحافة تقع على يسار خط الوسط، وتديرها من الأمام إلى الخلف. الأجسام الغريبة التي تسقط القصبة الهوائية هي أكثر عرضة لدخول القصبات اليمنى.الغشاء المخاطي للجؤجؤ هو المنطقة الأكثر حساسية من القصبة الهوائية والحنجرة لإثارة منعكس السعال. توسيع وتشويه الجؤجؤ هو علامة خطيرة لأنه عادةً ما يشير إلى سرطان الغدد الليمفاوية في جميع أنحاء المنطقة في المكان الذي تنقسم فيه القصبة الهوائية.تحدث إصابة رغامية قصبية، وهي إصابة في المجاري التنفسية، حيث تحدث في 2.5 سم من الجؤجؤ في غضون 60 ٪ من الوقت. 
2	ولد جؤذر في إسبانيا لأسرة موريسكية من الذين فروا أو هُجروا إلى الأراضي القشتالية والبلنسية بعد ثورة البشرات (1568-1571). وحسب رواية فإنه ولد بالضبط بكهوف المنصورة بالمرية، وحسب رواية إسبانية فإن اسمه الأول عند التعميد هو دييغو دي جيفارا (بالإسبانية: Diego de Guevara)‏. وهو صغير كان شاهدا على هجوم وتوغل قراصنة الجهاد البحري في وادي المنصورة، فاختطفوه مع حوالي ثلاثمائة من الشباب. تم نقل السجناء إلى قصر السلطان عبد الملك في مراكش، التي كانت عاصمة مزدهرة استضافت قرى موريسكية هاجرت بأكملهما (بما في ذلك أورخيفا وتابيرناس). فالتحق بالخدمة العسكرية المغربية. وعلى غرار العديد من ضباط وخدم البلاط، كان جؤذر مخصيًا. وتقدم تدريجيا في السلم الاجتماعي والعسكري، وتفوق وابرز مهارته في معركة وادي المخازن. فعينه السلطان قائدا عسكريا على مراكش.
3	جا واي 1 سات (بالإنجليزية: JY1-SAT)‏ هو أول مكعب فضائي  (قمر صناعي مصغّر) تُطلقه الأردن نحو الفضاء الخارجي، أًطلق المكعب على متن الصاروخ فالكون 9 الخاص بشركة سبيس إكس والذي أقلع من قاعدة فاندنبرغ الجوية في ولاية كاليفورنيا الأمريكية في 3 ديسمبر 2018، جرى تسمية المكعب تكريمًا لذكرى الملك الراحل الحسين بن طلال، إذ كان نداء الراديو الخاص به يحمل الرمز «JY1»، جرى تصميمه وبناءه وتجميعه بواسطة طلاب أردنيون من مختلف الجامعات، وموّل المشروع مؤسسة ولي العهد الأردنية، تتمثل مهمة القمر الصناعي بالبث الإذاعي وبث صور باستخدام تكنولوجيا SSTV (التنقل التلفيزيوني البطيئ). 
4	يتناول قصة نادر (25 سنه) يحلم بأن يصبح مذيع تليفزيوني. وهو حلم يسيطر عليه منذ الصغر حيث كان رئيس الإذاعة المدرسية طوال مراحل الدراسة...يقدم أوراقه لاختبار المذيعين في إحدى القنوات الفضائية.. ويطلب من أسرته وأهل الشارع الدعاء له بالنجاح ويعدهم بأن يعبر عن مشاكلهم وأحلامهم...ويقابل في الاختبار " عفت "والتي تحلم مثله بأن تكون مذيعة تلفزيونية، وتبدأ علاقتهما من الوصلة الأولي كعلاقة شد وجذب...يرسب الاثنان (نادر وعفت) في اختبار المذيعين ولكنهما ينجحان كمحرري أخبار.. ويستمر "نادر"في محاولاته التي لا توصله الا لخطوة المراسل التلفزيوني.. وبالفعل يسافر لتغطية حرب الشيشان ولكنه يتوه في جبال الثلج.. وأيضا يسافر للضفة الغربية لتغطية أحداث الانتفاضة ولكنه يشترك مع الشباب الفلسطينى في إلقاء الحجارة على الجيش الإسرائيلي.. مما يتسبب في فصله من القناة..ولكن يتسبب أيضا في بداية إعجاب " عفت " بشخصيته الجريئة التي تعبر عن رأى الجماهير الحقيقي..وينجح "نادر" في العودة لعمله، ويشترك مع "عفت" في أحد التقارير الأخبارية التي تعبر عن مشاكل الناس.. ولكن رئيس القناة يطلب منهما تغيير التقرير وتزييف رأى الناس حتى لا يصطدم بالحكومة..
5	عقب حقبة الجاؤويم أصبح هذا اللقب يُطلق على الرؤساء في أرض فلسطين وبغداد ودمشق ومصر، وفي وقت لاحق تحول إلى لقب شرفي عام للمتبحرين في علوم التوراة.  ومصطلح "جاؤون"، على مايبدو هو اختصار لجملة "رئيس يشيفت فخر يعقوب".  ومصدر اللقب هو آية في سفر المزامير تقول:"يختار لنا نصيبنا فخر يعقوب الذي أحبه. سلاه" وهناك لقب آخر في يشيفوت الجاؤونيم يعود أصله أيضا إلى حقبة الأمورائيم، وهو "روش كاله" (رئيس القبة) وهو حاخام من الحاخامات الذين تولى رئاسة "يرحي هكالة" ، التي يتجمع بها كل الشعب لتعلم التوراة مرتين في العام. واللقب الآخر في يشيفوت الجاؤونيم الذي لم يتضح بعد بما يكفي هو لقب "ألوف".
6	تنقسم فترة الجاؤونيم لفترتين حسب طابع المؤلفات التي وصلت إلينا .  فيمكننا تعريف الفترة الأولى بالفترة الزمنية التي لم يُكتب فيها تقريباً كتب مكتملة بل مجرد أسئلة وأجوبة، بينما الحقبة الثانية تُعد حقبة الإنتاج الأدبي (النسبي) ومنها وصل إلينا العديد من الكتب.هذا وقد استمرت الحقبة الأولى حتى سنة 750 تقريباً، وكانت معاصرة من الناحية التاريخية-السياسية مع فترة حكم الأسرة الأموية. وخلال هذا العصر كانت عاصمة الإمبراطورية العربية تقع في دمشق. أما الحقبة الثانية ، من عام 750-1050 فهي تعاصر من الناحية التاريخية-السياسية فترة حكم بني الأسرة العباسية. ويغطي العصران الأموي والعباسي مرحلة من أزهى مراحل الفكر اليهودي هي عصر الجاؤونيم، والمفرد من هذه الكلمة العبرية (جأون) معناها العلامة المتبحر، والمعظم، والأفخم، فقد انتهت عصور التلمود وطبقات رواته مع ظهور الإسلام، وبدأت هذه المرحلة من المدققين والمفسرين والشراح في ظل الإسلام، واقتفاء لعلماء المسلمين، واقتداء بهم. وكان لهؤلاء (الجأونيم) مركزان بالعراق - معقل الدولة العباسية - أولهما في صورا (سورة) بالقرب من بغداد، والثاني في  العراق، بمدينة الفلوجة واسمها القديم بومبيديتا، ولكل منهما شيخ ينتخبه اليهود أنفسهم، ويمتد نفوذهم إلى كل الدولة الإسلامية وما وراءها من التجمعات اليهودية في كل بلاد العالم، يطيعهم اليهود في مصر وشمال إفريقية والأندلس، وإيران وبلاد الروم وغيرهم، ويستفتونهم في دقائق دينهم، وكانت لفتاواهم قوة المدراش والتلمود. وكانت كل فتوى تنتهي بعبارة لا تتغير: هذا هو الحكم الشرعي، ويحرم الخروج عنه يمينا أو يسارا. وكانت سلطة الجأون، شيخ هذه الأكاديمية أو تلك، معترفا بها من الخليفة العباسي. يقول مؤرخو اليهود إنه كان نصف اعترافه و لايقولون لماذا هذه المناصفة ربما لأن رئيس كل من هاتين المدرستينكان تابعا لسلطة الحاخام الأكبر رئيس الطائفة (رأس الجالوت) الذي كان يستمد سلطته والاعتراف الكامل به من الخليفة شخصيا. وكان لكل جأون راتب كبير يأتي من زكاة اليهود للمعيد، ومن تبرعات الأثرياء. ومع الزمن انحصر هذا المنصب في أسر قليلة تتوارثه.
7	ابتكر في حقبة الجاؤويم أسلوب أدبي جديد، هو أدب الأسئلة والأجوبة، وبسبب التباعد الجغرافي الكبير بين الجاليات اليهودية في الشتات، وأنظمة السلطة المختلفة  وصعوبة فهم التلمود الذي انتشر بدون تفسير، واجه اليهود في أماكن إقامتهم  المتفرقة مشاكل شرعية عديدة، فتم كتابة تلك المشكلات وأرسلوها إلى اليشيفات في صور وبومبديتاـ  ومن ثم رد عليهم الجاؤونيم أو طلابهم.  وبهذا الشكل, فإن تبادل الخطابات خلق أدب الأسئلة والإجابات. ويوجد بحوزتنا آلاف الإجابات التي تعود لهذه الحقبة، وهناك العديد منها محفوظة في جنيزا القاهرة وفي جنيزات أخرى.  وكانت الجاليات اليهودية ترسل إلى الجاؤونيم مع خطابات الأسئلة مبالغ مالية لإنفاقها على مركز تعليم التوراة في بابل. وحتى أيام "كوهين تسيدك", جاؤون بن الرابي يوسف رئيس يشيفا بومبديتا ،الذي ترأسها في الفترة ما بين 917-936، تلقت يشيفا صور ما يقرب من ثلثي الأموال التي تبرعت بها الجاليات اليهودية لليشيفوت، بينما لم تحصل يشيفت بومبديتا سوى على الثلث فقط. ومع تعاظم قوة يشيفت بومبديتا في أيام الرابي كوهين تسيدك، تم تقسيم التبرعات بشكل متساو.هذا ونجد أن نجاح الجاؤويم في نشر التلمود والشريعة بين جميع الجاليات اليهودية، أدى –بشكل متناقض-إلى انخفاض قوتهم، وحدث ذلك نتيجة افتتاح مراكز للتوراة في مناطق أخرى، مثل القيروان بتونس، والأندلس، وماينتس في لوترنجيا وغيرها.  إضافة إلى ذلك زوال الخلافة من بغداد، وتدهور قوة يهود بابل الاقتصادية. كل ذلك أدى إلى نهاية المؤسسة الجاؤونية في بابل في عام 1040 تقريباً وبعد ذلك بقليل أدى إلى توقف الجاؤونية في أرض فلسطين. ومع تشتت الصلاحيات الشرعية في أنحاء العالم اليهودي انتهت حقبة الجاؤونيم وبدأت حقبة الراشونيم.
8	بعد خمسين عاماً كانت خلالها اليشيفوت في كل من صور وبومبديتا مغلقة، عاد الرابي حنان مايشكيا على رأس مجموعة من الحاخمات إلى مدينة بومبديتا وأفتتح هناك نظام دراسي شبيه بذلك النظام في عام (589). وبعد عامين، أو 20 عاماً، (الأمر مرتبط بتبديل صيغ في رسالة الرابي شريرا جاؤون)تم إعادة افتتاح يشيفا صور أيضا، التي كانت الدراسة قد توقفت بها بعد وفاة الرابي عينا، وتولى رئاسة اليشيفا الرابي مار بار راف هونا. ومن ذلك الوقت فصاعداً استمر تتابع رؤساء اليشيفوت في صور وبرومبديتا.وينظر العديدون إلى هذا الحدث –المتمثل في إعادة افتتاح يشيفا برومبديتا في عام 589- باعتباره بداية حقبة الجاؤونيم، التي استمرت حوالي 450 عاماً، حتى وفاة الرابي هاي جاؤون في عام 1038. وهم يستندون إلى أقوال الرابي "شريرا" جاؤون في رسالته، التي استهلت قائمة رؤساء اليشيفوت بكلمات "وهؤلاء الجاؤونيم الذين كانوا في يشيفاتنا".وهناك من يختلفون مع هذه الفرضية، ويرون أن الحقبة الجاؤونية بدأت في وقت لاحق –أي بعد عدة سنوات من ذلك التاريخ. وهذا الرأي يستند على أقوال الرابي إفراهام بن داوود، الذي حدد في كتابه "كتاب القبالاه" خمسة أجيال من السوفارئيم ويشير إلى أن نهاية هذه الحقبة في عام 689، مع وفاة الرابي ششنا، رئيس يشيفا صور. بعد ذلك كتب الرابي إفراهام بن داوود بداية حقبة الجاؤوييم.في الرد الذي أرسله الرابي "شريرا" جاؤون لقب الرابي رفا جاؤون (الذي نشط في حدود العام 651) ومجموعة "ربنان سفوراي". وسواء كان هذا أو ذاك، في رسالة الرابي شريرا جاؤون نجد أن معنى لقب "جاؤون" هو رئيس يشيفا (هكذا كان يُطلق رؤساء اليشيفوت في حقبة الجاؤونيم)، والرابي شريرا يستخدم هذا اللقب بشكل أكثر شمولا عند تطرقه إلى رؤساء اليشيفوت من الرابي حنان وما تلاه. وبناء على ذلك من المألوف بدء نظام الجاؤونيم بالرابي حنان مايشكيا (في برومبديتا) وبالرابي مار بار راف هونا (في صور)، وأيضا هناك من يعتبر الحاخامات حتى الرابي ششنا كسفورائيم وأيضا كجاؤونيم.
9	الجائحة (ج. جوائح) والوباء العام هو وباء ينتشر بين البشر في مساحة كبيرة مثل قارة مثلا أو قد تتسع لتضم كافة أرجاء العالم. ويسمى الانتشار الواسع لمرض بين الحيوانات جارفة. الوباء المستوطن واسع الانتشار المستقر من حيث معرفة عدد الأفراد الذين يمرضون بسببه لا يعتبر جائحة. وعليه يستبعد من جائحة الانفلونزا النزلات الموسمية المتكررة للبرد. ظهر عبر التاريخ العديد من الجوائح مثل الجدري والسُلّ. ويعتبر الطاعون الأسود أحد أكثر الجوائح تدميرًا؛ إذ قتل ما يزيد عن 20 مليون شخصًا في عام 1350م. ويشتهر من الجوائح الحديثة فيروس نقص المناعة المكتسبة والإنفلونزا الإسبانية وجائحة إنفلونزا الخنازير2009، وفيروس الإنفلونزا أ H1N1 و فيروس كورونا (SARS-CoV-2)، و فيروس كورونا (COVID 19)
