INPUT:text_id	INPUT:text
0	!!! is an American band formed in the fall of 1996 by the merger of members of the groups Black Liquorice and Popesmashers. After a successful joint tour, the two bands decided to mix the disco-funk with more aggressive sounds and integrate the hardcore singer Nic Offer from the Yah Mos. The band's name was inspired by the subtitles of the movie The Gods Must Be Crazy, in which the clicking sounds of the San people's Juǀʼhoan language were represented as "!". However, as the bandmembers themselves say, !!! is pronounced by repeating thrice any monosyllabic sound. "Chk Chk Chk" is the most common pronunciation, and the URL of their official website and the title of their Myspace page suggest it is the preferred pronunciation.
1	!Action Pact! was from Stanwell in Middlesex, and was also originally named Bad Samaritans. In 1981 they changed their name to !Action Pact!. The John from Dead Mans Shadow (D.M.S.) was Bad Samaritan's original lead singer, and he left to concentrate on D.M.S., before the name change.  He was replaced by George Cheex, who got the job because of "her courage to scream along with the band's songs."  They contributed two songs to the EP Heathrow Touchdown which was released in October, 1981, while George and Joe were still only 15 years old. "London Bouncers" and "All Purpose Action Footwear", got the attention of BBC Radio 1 DJ John Peel.  He played their songs often and he convinced the band to record their first full session, which they did on 22 February 1982. They recorded "People", "Suicide Bag", "Mindless Aggression", "Losers", and "Cowslick Blues". The resulting demo tape caught the attention of the fledgling label Fall Out Records, which signed the band as the first act on its roster.  !Action Pact!'s label debut, the Suicide Bag EP, was released in July 1982 and rocketed to the top of the British punk chart.
2	!HERO is a rock opera modernizing Jesus's last two years of life, as narrated in the Bible. The story takes place in New York City, in Brooklyn. The world government in this near-future dystopic Earth is centered under the International Confederation of Nations (ICON). Under the iron fist of I.C.O.N., nearly all religion in the world has been wiped out, except for small occult and mystic sects. Only one synagogue in Brooklyn exists. Currently, New York City is a police-occupied warzone between ethnic gangs and small, isolated revolutionary groups fighting I.C.O.N. Of all the ancient world religions, only Judaism survives and flourishes, at least, as much as it can.
3	In Bethlehem, PA, a child named Jesus, but referred to as HERO, is born and forced to flee with his family to the small Jewish section of Brooklyn. Jesus grows up and begins to preach and teach the principles of Christianity to the people of New York City, teaching people to love their enemies and care for each other. I.C.O.N. realizes HERO is a threat, and the Chief of police Devlin (a derivative of the Devil or Satan), with the help of chief Rabbi Kai (Caiaphas), conspire to end HERO's revolutionary teachings.
4	!Kweiten-ta-||Ken (also known as Rachel or Griet) was a noted |xam (San) chronicler of xam culture and knowledge. She played an important role in contributing to the Bleek and Lloyd archive of “Bushman Folklore” providing a female perspective on the life, rituals, and beliefs of |xam society. She was the primary source on |xam folklore, customs, and coming-of-age rights. She travelled to the Cape in June 1874 with her family and stayed until January 1875 during which she was interviewed by Wilhelm Bleek and Lucy Lloyd. She was from the Katkop mountains north west of Brandvlei in what is today South Africa.
5	THEE PAUSE is originally from Philadelphia, Pennsylvania and currently based in the New York City area. He has been previously selected by MTV & 495 Productions with other DJs to perform internationally for thousands. Having been selected to perform with and remix multiple platinum selling artists, he has been featured as a guest curator for Trance Mix. He has been featured, interviewed or reviewed by Spin (France), Scotch & Murder Monthly, More Than Disco, Hot Biscuits, The Atlantic Monthly, Trip Hop Daily, Creme de le Creme, reverb, Music Under Fire, and Fahrenheit, and has multiple top-charting tracks and remixes on The Hype Machine and Beatport. THEE PAUSE was selected in February 2012 as a featured DJ for W Hotels Worldwide and a commissioned mix was made available exclusively on W Hotels Worldwide by Starwood Hotels and Resorts iPhone application.
6	In March 2013, THEE PAUSE joined forces with Scott Putesky, former lead guitarist and co-founder of the band Marilyn Manson, to form "The Daisy Kids". The Daisy Kids was an American hard rock group consisting of former Marilyn Manson guitarist Daisy Berkowitz and producer, multi-instrumentalist and bass player THEE PAUSE. Guest vocals on the Mr Conrad Samsung EP were provided by Justin Symbol of Nursing Home fame[2]. Numerous rough demos were recorded, including a yet to circulate four-song CD entitled The Samsung Sessions. That four-song CD/demo was shelved due to legal issues regarding the use of uncleared samples, and only one track from those recording sessions has surfaced to date.
7	Lynn Hershman Lesson interviewed artists, curators, critics, and historians for over 4 decades about their individual and group efforts to help women succeed in the art world and society by helping them overcome obstacles. There were over 40 individuals interviewed for the project. These interviews are done in a variety of places over time. The interviewees talk about their experiences in the art world facing obstacles because of their gender. Many of the artists discuss the works they made as a result. The movie begins with a scene at the Whitney Museum of American Art, where Hershman asks people to name 3 women artists; very few can name more than Frida Khalo. Hershman calls the film the, "remains of an insistent history that refuses to wait any longer to be told." She says the events of the day led her to feel an, "urgency to capture that moment" and shoot whenever, wherever with a borrowed camera.
8	The film gets its name from Women Artists in Revolution (WAR), which formed in the 1960s as a coalition to raise awareness about the unique obstacles faced by female artists. Many of the issues started at a fundamental level, Rachel Rosenthal states in the movie, with the women artists not getting recognition in the study of art history and books. The interviewees all talk about how male-dominated the art world was, sharing their personal stories. The work these feminist artists were creating at the time were very different from works shown or talked about at the time.
9	Richard Knight for the Windy City Times has a more critical view of the film, explaining, "Hershman Leeson succeeds in her goal to expose and pique the interest of the viewer to the radical feminist artists who used activist tactics to get their work shown, demanding parity with their male counterparts. However, by the time queer film historian B. Ruby Rich starts talking about how the lesbian artists didn't want to identify as artists because that label was considered bourgeois by their female counterparts, the movie has taken on an exclusionary air of its own – just like those 'womyn only' coffeehouses that existed 'back in the day'. So, while the film undercuts some of its own arguments by veering too strongly into the very separatist direction it decries – and annoyingly overlooks the artist's feminist forebears (like O'Keeffe, Nevelson and Kahlo, for example) – !Women Art Revolution does offer plenty of food for thought for everyone."
