INPUT:text	INPUT:text_id	GOLDEN:is_correct
Au début des années 2000, moins de 25 femmes de Fais, surtout des femmes de 40 ans et plus, savent encore tisser le machi. Aucune femme de moins de 30 ans ne sait le réaliser et n'en comprend la signification culturelle. Les causes de cette perte de savoir-faire sont pour D. Rubinstein et S. Limol les influences modernisatrices, en particulier la scolarisation occidentale, l'économie salariale et la migration urbaine. Pour les femmes de Fais encore détentrices de ce savoir, elles seraient le manque de discipline perçu chez les jeunes femmes, leur manque d'intérêt pour la tradition et l'abandon par la communauté de Fais de la coutume d'avoir des femmes dans les grandes maisons menstruelles pendant leurs périodes et après l'accouchement. Un projet de relance et de sauvegarde de cet artisanat a été initié en 2001 à l'instigation notamment de S. Limol, originaire de Fais, dirigeant d'entreprise et avec l'appui financier du Workforce lnvestment Act (WIA) à Yap financé par les États-Unis. Il a pu être mené à bien après accord des femmes de Fais, des chefs traditionnels du Conseil de Tamol et malgré la résistance de certains hommes pour des raisons de traditionalisme idiosyncratique, d'opposition à la méthode d'enseignement hors du cadre familial, à la transmission de ce savoir-faire jugé comme appartenant à Fais à des femmes d'autres communautés et à la monétarisation de ce patrimoine très chargé symboliquement. Le chef suprême de Fais a fourni en 2003 un terrain bordant l'école élémentaire de l'île pour la construction d'un bâtiment traditionnel en chaume, érigé par les habitants de l'île, pour loger l'école de machi. Les premières étudiantes ont été diplômées en 2004.	4338	yes
Le faisan doré est considéré comme globalement non menacé (Birdlife 2004) et même franchement commun dans les habitats favorables. Fuller et Garson (2000) le qualifient de « bientôt menacé ». Madge & McGowan (2002) évaluent la population à quelques centaines de milliers d’oiseaux répartis en de nombreuses localités mais en déclin.Selon des informations de terrain, la menace principale vient de la dégradation de son habitat boisé et buissonneux. Ainsi, les broussailles et les fourrés, où vivent les faisans dorés, sont régulièrement exploités par la population locale pour le bois de chauffage et de cuisine.	4404	yes
La description de la parade nuptiale qui suit est une synthèse de nos observations en captivité et de divers documents graphiques et photographiques. Le mâle revendique un territoire par des démonstrations à la fois visuelles et sonores. Il gonfle considérablement son plumage et bat frénétiquement des ailes, le corps maintenu bien droit et la queue non déployée reposant sur le sol. Cette courte séquence est habituellement suivie d’une série de sifflements aigus et répétés portant à plus de 200 m. En parade nuptiale, le mâle s’approche lentement de la femelle en décrivant des cercles concentriques dans une attitude droite et fière, le plumage fortement gonflé. Arrivé à proximité de sa partenaire, il penche fortement le corps en avant, tend le cou vers le haut, déploie et redresse à la verticale sa longue queue dont la pointe recourbée ondule élégamment au gré de ses mouvements. Si, à ce moment, la femelle s’esquive, il va au devant d’elle et se met alors à sauter de façon spectaculaire et impressionnante tout en se rapprochant d’elle, parfois en ouvrant une aile de façon à paraître encore plus grand. À noter tout de même que ces bonds peuvent effrayer la femelle et occasionner sa fuite, surtout en début de parade (Hennache & Ottaviani 2006).	4417	yes
Les réintroductions d’oiseaux sont suffisamment rares pour que l’on parle de celle du faisan de Wallich, tentée dans les années 80 dans le parc national des Margallah Hills au Pakistan, d’autant plus que ce fut un échec complet (Hennache 1994b).De 1978 à 1991, des milliers d’œufs provenant d’éleveurs anglais, belges et néerlandais furent envoyés au Pakistan afin d’assurer la production de faisandeaux destinés au lâcher, les œufs produits sur place étant en nombre insuffisant pour mener le projet. Quatre méthodes furent utilisées successivement pour élever les jeunes : finalement c’est l’élevage par les parents, directement en volière de prélâcher, qui fut retenue, à partir de 1988. Des 5997 œufs utilisés pour ce projet, en 15 ans, 2448 poussins naquirent, 940 furent élevés et 697 relâchés. Très peu d’oiseaux survécurent.	4397	yes
Le mâle adopte une position horizontale du corps avec la queue déployée, les plumes du croupion gonflées, l’aile située du côté de la femelle abaissée et les caroncules étalées.En parade frontale, il garde tous ses attributs déployés, mais adopte une attitude différenteavec le corps écrasé au sol, la queue déployée et ramenée en avant tout en écartant et enposant les ailes sur le sol, ce qui lui confère un aspect fort impressionnant. Puis, relevant le corps tenu à la verticale, il s’approche de la femelle, alors couchée au sol où l’accouplement se produit (Hennache & Ottaviani 2006).	4383	yes
Fais ainsi que l'ensemble des îles Carolines passent sous le contrôle des États-Unis qui, en 1947, les administrent en tant que Territoire sous tutelle des îles du Pacifique dans le cadre d'un mandat de l'ONU. Le 11 novembre 1945, un Boeing B-29 Superfortress américain en détresse amerrit près de Fais. Les dix membres d'équipage sont accueillis par les insulaires, après le don de cadeaux au chef Mahol. Ils l'informent également de la capitulation du Japon. Les aviateurs sont récupérés le lendemain par une opération de secours,. En 2002, des tôles de métal issues de cet avion sont encore utilisées dans des maisons, pour y découper des couteaux, des cuillères ou d'autres outils, pour constituer un four pour y faire sécher le coprah destiné à l'exportation, un pneu protège une plante, du tissu provenant de l'intérieur de la coque de l'avion est réutilisé pour les lignes de pêche et des ampoules en verre sont employées comme bols pour le service de la table.	4317	yes
Au début du XIXe siècle, Fais est décrite par le naturaliste Adelbert von Chamisso comme celle ayant le sol le plus riche et la flore la plus luxuriante de toutes les Carolines. Cependant, une grande partie de la forêt d'origine ainsi que le plateau central ont été dévastés par l'exploitation minière extensive menée dans les dernières années de l'administration japonaise, entre 1937 et 1944,. Environ 45 % de l'île ont été affectés. La forêt a depuis été supplantée par le maquis, des forêts secondaires, des prairies et des terres agricoles. Les fragments de forêt conservés se situent le long du bord des falaises circonférentielles de calcaire corallien de l'île. Ils forment une ceinture de forêt basse et dense largement dominée par Barringtonia asiatica,. Ce dernier se mélange du côté intérieur des terres avec des arbres et arbustes, principalement Premna serratifolia — appelé localement iar —, Hibiscus tiliaceus, Pipturus argenteus, Melochia compacta, Ficus tinctoria et Morinda citrifolia. Du côté de la mer, il cohabite avec des bouquets de Pandanus tectorius insérés dans un étroit cordon d’Heliotropium foertherianum et de Scaevola taccada. En bord de falaise, il y a une présence massive de Pandanus dubius. Des touffes d'herbacés de type Fimbristylis cymosa et Hedyotis albidopunctata s'accrochent aux irrégularités des falaises.	4303	yes
La partie basse de la tuyere, qui n'est pas refroidie par le systeme tubulaire decrit ci-dessus, est maintenue en dessous de sa temperature de fusion par injection des gaz en sortie de la tuyere de la turbopompe. Ceux-ci circulent entre la paroi externe continue de la tuyere et sa paroi interne perforee. Il en resulte un film de gaz dont la temperature n'est que de 650 °C, qui s'interpose ainsi entre la paroi en acier inoxydable et les gaz expulses de la chambre de combustion a une temperature de 3 200 °C. Sur les cinq moteurs F-1, quatre sont montes en peripherie, et un au centre de la base du premier etage. La poussee des moteurs montes en peripherie est orientable de 6° avec deux degres de liberte, grace a des verins actionnes par un systeme hydraulique actionne par le kerosene sous pression. Les cinq moteurs sont montes sur une structure de poussee particulierement massive (22 tonnes, sur une masse a vide totale de 136 tonnes du premier etage) constituee de 4 longerons relies par deux poutres assemblees en croix et deux cadres circulaires.	19	yes
Le territoire est traditionnellement organisé en 320 parcelles de terrain nommées, elles-mêmes subdivisées en parcelles sans nom appartenant à différentes familles. Mais, l'exploitation du phosphate par les Japonais entre 1937 et 1944 a rendu une grande partie des sols incultes,. Des arbres, des chemins ou des alignements de pierres de corail sont utilisés pour délimiter le terrain. Les petites parcelles, les parcelles nommées mais également les différentes composantes des familles sont désignées par le terme bogota. L'exploitation minière ayant dévasté les terres intérieures, le plateau central ne comporte plus que quelques terrains agricoles. On y cultive la patate douce, introduite par les Japonais vers 1850, le manioc, le tabac, différentes aracées (Alocasia macrorrhizos, Colocasia esculenta, Xanthosoma sagittifolium). Depuis la fin du XXe siècle, le taro géant des marais est cultivé dans des cuves en ciment. Les plus larges atteignent 10 × 15 m. Les parois s'élèvent en général sur moins d'un mètre de haut et retiennent des quantités variables d'eau de pluie chargée d'algues. Le 1er mars 2017, la communauté de Fais reçoit une subvention de 75 417 $ offerte par l'ambassade du Japon pour la construction de 35 cuves à taro pour améliorer la sécurité alimentaire de la population mise en péril par les typhons et les tempêtes qui frappent l'île chaque année. Il est prévu que ces structures assurent une production de 11 091 kg de taro. L'intérieur du plateau, les bancs de sable à la base des falaises et les pentes arrière des plages sont utilisées pour des plantations de cocotier. Les cocoteraies abritent de l'arbre à pain, de la figue bossue, du nono — appelé localement iol — dont les fruits sont mangés avec de l'eau et du sucre. Les fruits du Muntingia calabura et du papayer ainsi qu'un igname, le Dioscorea esculenta, sont également consommés.	4330	yes
En parade nuptiale, le mâle, la huppe hérissée, les ailes légèrement abaissées et la queue partiellement ouverte, poursuit la femelle et se place latéralement à elle pour mettre en valeur son croupion doré et surtout lui montrer sa collerette alors largement déployée.Il peut ouvrir sa collerette entièrement mais, en situation de parade latérale, il déploie souvent seulement la partie située du côté de la femelle. Par ailleurs, il peut aussi orienter sa queue latéralement vers la femelle. Cette démonstration fait habituellement fuir la poule mais il revient aussitôt à la charge et tente de lui couper toute retraite pour exhiber à nouveau sa collerette qu’il fait crisser en la déployant, tout en lançant un sifflement aigu « tsitt-tsitt ».Si elle s’enfuit à nouveau, il lui emboîte aussitôt le pas, exécute des bonds, fait plusieurs fois le tour d’elle, la harcèle et se pavane devant elle, n’hésitant pas à s’approcher de très près pour lui exposer à nouveau son collier de plumes déployé comme un éventail. Cette exhibition offre alors le spectacle impressionnant de l’œil du mâle, entouré, au-dessus, de la huppe dorée et, au-dessous, des cercles concentriques noirs et jaunes, fixant la poule avec intensité. De temps à autre, le mâle tente de poser une patte sur le dos de la femelle qui peut accepter la copulation en adoptant la position d’invitation à l’accouplement. Plusieurs mâles peuvent se joindre à cette parade, chacun cherchant à attirer l’attention de la femelle en exhibant sa collerette et ses autres attributs colorés. En parade d’intimidation, deux mâles marchent nerveusement côte à côte, dévoilent leur croupion doré et se défient mutuellement en exhibant leur collerette entièrement ouverte ou seulement du côté du rival. Cette attitude provocante peut dégénérer en combat qui consiste en sauts, face à face, le corps à la verticale, tout en essayant d’asséner des coups de griffes et d’ergots à l’adversaire.	4401	yes
Newton Davis (Steve Martin) est un architecte en difficulté. Après avoir construit sa maison de rêve pour lui-même et sa petite amie de longue date Becky (Dana Delany) dans sa ville natale, Dobbs Mill, il est écrasé quand elle refuse de l'épouser. Il est incapable de se mettre à vivre dans la maison, et la laisse abandonnée et avec une dette qu'il ne peut pas se permettre. Quelque temps plus tard, Newton rencontre une serveuse nommée Gwen (Goldie Hawn) dans un restaurant hongrois de Boston. Croyant qu'elle ne parle pas anglais, il dévoile sa triste histoire au sujet de Becky et de la maison abandonnée. Après la fermeture du restaurant pour la nuit, Newton apprend qu'elle a simplement fait semblant d'être hongroise, et peut parler anglais. Il l'accompagne jusque chez elle, ce qui s'avère être un petit appartement au-dessus au restaurant. Ils finissent par faire l'amour.	4350	yes
Les premiers exemplaires importés vivants en Europe furent deux mâles envoyés à Londres en 1828 par William Pitt Amherst, diplomate anglais gouverneur général des Indes de 1824 à 1828. Leadbeater décrivit l’espèce en 1829 d’après ces deux spécimens sous le nom de « Phasianus Amherstiae » en hommage à Lady Sarah Amherst (1762-1838). En effet, Lady Sarah, comtesse d’Amherst et épouse du gouverneur britannique, reçut en présent ces deux faisans du souverain birman Bagyidaw, car elle avait été, dit-on, absolument fascinée par leur beauté. Les oiseaux furent détenus deux ans en captivité en Inde mais ne survécurent pas longtemps en Angleterre. Lady Amherst disparut en 1838 mais son nom reste à jamais associé à ce faisan.	4385	yes
La belle palette de couleurs de ce faisan lui a valu divers noms vernaculaires chinois comme « Houa-ze-ki » ou « Kwa-kwa-chi » qui signifient « faisan fleuri » ou « faisan diamant » (que l’on retrouve d’ailleurs dans le nom allemand « Diamantfasan ») mais le nom officiel chinois est « Baifu jinji ». Le Père David (1877 in Beebe 1931) avait signalé qu’en raison de sa préférence alimentaire pour les pousses de bambou, les chinois lui ont attribué le nom local de « Seng-ky » qui signifie « poule des bourgeons » (Hennache & Ottaviani 2006).	4386	yes
Au début du XIXe siècle, les hommes et femmes portent des pagnes en fibres de coco pendues à un fil. Les femmes portent en bijou des bagues, pendentifs et bracelets généralement en coquillage. Au début des années 2000, pour une femme pubère de Fais, une tenue appropriée consiste en le port d'une jupe tissée enveloppante sans vêtement supérieur. Pour l'homme, elle correspond au port d'un pagne tissé. Le machi ne se porte pas en tant que vêtement. Des photographies prises en décembre 2015 illustrent l'utilisation fréquente de shorts et tee-shirts.	4345	yes
Le faisan de Hume est typiquement inféodé aux forêts ouvertes de chênes (Lithocarpus, Cyclobalanopsis, Quercus) et de pins du Yunnan (Pinus yunnanensis) pourvues de clairières herbeuses disséminées, de fougères et de buissons entre 1200 et 3000 m mais il a aussi été trouvé dans des plantations de conifères (Hennache & Ottaviani 2006). D’après Iamsiri et Gale (2003) ce faisan préfère une végétation herbacée courte, clairsemée, sous des forêts sempervirentes ; c’est pourquoi les forêts à proportion élevée de pins sont importantes car elles s’accompagnent d’une strate herbacée courte et clairsemée.	4381	yes
La saison 6 comporte huit épisodes, elle a été tournée pour l'essentiel à Sèvres, d'avril à juillet 2013. Sa diffusion a débuté mercredi 30 octobre 2013 sur France 2 pour s'achever mercredi 20 novembre 2013. Dans cette saison, Christophe et Tiphaine emménagent ensemble, puis Tiphaine se trouve enceinte. La naissance de son bébé bouleverse Fabienne. Du côté des Bouley, Valérie cherche désespérément du travail et décide finalement de reprendre des études de journalisme. Denis, quant à lui, reprend ses activités de coaching mais vise plus haut pour cette saison. La rentrée d'Eliott au lycée lui cause un choc.	4359	yes
