INPUT:text	INPUT:text_id	GOLDEN:is_correct	HINT:text
En parade nuptiale, le mâle, la huppe hérissée, les ailes légèrement abaissées et la queue partiellement ouverte, poursuit la femelle et se place latéralement à elle pour mettre en valeur son croupion doré et surtout lui montrer sa collerette alors largement déployée.Il peut ouvrir sa collerette entièrement mais, en situation de parade latérale, il déploie souvent seulement la partie située du côté de la femelle. Par ailleurs, il peut aussi orienter sa queue latéralement vers la femelle. Cette démonstration fait habituellement fuir la poule mais il revient aussitôt à la charge et tente de lui couper toute retraite pour exhiber à nouveau sa collerette qu’il fait crisser en la déployant, tout en lançant un sifflement aigu « tsitt-tsitt ».Si elle s’enfuit à nouveau, il lui emboîte aussitôt le pas, exécute des bonds, fait plusieurs fois le tour d’elle, la harcèle et se pavane devant elle, n’hésitant pas à s’approcher de très près pour lui exposer à nouveau son collier de plumes déployé comme un éventail. Cette exhibition offre alors le spectacle impressionnant de l’œil du mâle, entouré, au-dessus, de la huppe dorée et, au-dessous, des cercles concentriques noirs et jaunes, fixant la poule avec intensité. De temps à autre, le mâle tente de poser une patte sur le dos de la femelle qui peut accepter la copulation en adoptant la position d’invitation à l’accouplement. Plusieurs mâles peuvent se joindre à cette parade, chacun cherchant à attirer l’attention de la femelle en exhibant sa collerette et ses autres attributs colorés. En parade d’intimidation, deux mâles marchent nerveusement côte à côte, dévoilent leur croupion doré et se défient mutuellement en exhibant leur collerette entièrement ouverte ou seulement du côté du rival. Cette attitude provocante peut dégénérer en combat qui consiste en sauts, face à face, le corps à la verticale, tout en essayant d’asséner des coups de griffes et d’ergots à l’adversaire.	4401	yes	Tout va bien ici.
Le faisan vénéré vit généralement en groupes comptant, dans 87 % des cas, deux à cinq faisans, mais des compagnies plus nombreuses, jusqu’à 13 oiseaux, ont été observées. Cette agrégation a été particulièrement bien étudiée par Sun et Zhang (2003) dans la réserve de Dongzhai. Ces groupes peuvent soit être composés d’oiseaux du même sexe soit, plus rarement, d’oiseaux de sexes différents. La majorité des groupes mixtes ne comprennent qu’un seul mâle avec plusieurs femelles (62 % des cas). Dans 64 % des cas, les groupes de mâles ne comprennent que deux mâles et dans la quasi-totalité des cas ceux de femelles trois ou quatre oiseaux. La structure des groupes change suivant les saisons, les adultes quittant le groupe au moment de la reproduction, et les rejoignant après cette période.	4416	yes	Tout va bien ici.
En matière de mesures de conservation, il serait souhaitable d’accorder le statut de zone protégée aux sites occupés par le faisan d’Elliot et de recenser annuellement ses populations. Il serait, en outre, important de mener une étude approfondie afin de déterminer ses exigences écologiques dans les différents types de forêts fréquentés. La législation chinoise devrait aussi être renforcée pour éviter le braconnage et le bûcheronnage illégal dans les zones protégées. Le Pheasant Specialist Group recommande aussi que la population captive soit gérée de façon optimale afin de maintenir une certaine diversité génétique.	4378	yes	Tout va bien ici.
Nina Janos est soulagée lorsque, rentrant prématurément d'une soirée costumée chez des amis, elle trouve un clown égorgé dans sa bibliothèque : elle pense être débarrassée de son mari, qu'elle qualifie de parfait salaud, et qui était censé être à Los Angeles pour ses affaires. Mais au démaquillage, il apparaît que la victime n'est que le bras droit de Ludovic Janos, Alton Chase. D’ailleurs, le mari - qui qualifie son épouse de nymphomane - est rentré chez lui bien vivant, au grand désespoir de l'éphémère veuve, qui avoue ne l'avoir épousé que pour son argent. Chez les amis, où la fête continue, Al Wheeler découvre qu'il y avait bien un clown au début de la soirée, et peut-être même deux. Dans un milieu où l'on mélange argent, alcool, sexe et haine, Ludovic Janos apparaît comme l'homme à abattre, celui que tout le monde jalouse et déteste. Mais ce n'est pas lui qui est mort...	4360	yes	Tout va bien ici.
Cette espèce est supposée polygame, mais Severinghaus (1977) pense qu’elle pourrait être monogame. D’après Bridgman et al. (1997), il semble que le territoire de la femelle soit plus vaste que celui du mâle (13,7 ha contre 7,4 ha) et qu’il varie selon la saison : il est plus grand en automne (8,8 ha) et au printemps (13,1 ha) et plus petit en hiver (1,6 ha). Bien qu’il s’agisse d’une espèce plutôt silencieuse, le mâle émet un doux gloussement « chap-chap-chap » suivi d’un sifflement aigu en période de reproduction. La femelle émet un doux « claaack » comme cri de contact ou de ralliement pour ses poussins.	4409	yes	Tout va bien ici.
D'abord baptise F-Zero 64, le jeu a ete revele par le magazine Famitsu a la mi-1997. Plusieurs programmeurs de Wave Race 64, dont le programmeur principal, ont fait partie de l'equipe de developpement de F-Zero X,. Le public a pu tester le titre pour la premiere fois au Nintendo Space World de novembre 1997,. D'apres GameSpot, F-Zero X est devenu le premier jeu de course a fonctionner a 60 images par seconde, avec jusqu'a 30 vehicules a l'ecran. Cependant, pour garantir cette fluidite, Nintendo a du sacrifier le nombre de polygones par vehicule, la qualite des textures et le detail des circuits. La sortie nord-americaine de F-Zero X a ete retardee de trois mois en raison de la politique de Nintendo of America qui etait d'espacer uniformement les sorties de jeux Nintendo. Le titre etait concu pour etre compatible avec le Nintendo 64DD, mais cette fonctionnalite ne fut pas exploitee en dehors du Japon a cause de l'echec commercial du 64DD.	40	yes	Tout va bien ici.
La chanson suit un immigrant irlandais à la veille de Noël. Il rêve à des vacances passées pendant son sommeil dans une cellule de dégrisement de New York. Quand un vieil homme entre lui aussi en état d'ébriété dans la cellule en chantant un extrait de la ballade irlandaise The Rare Old Moutain Dew, le narrateur (MacGowan) commence à rêver du personnage féminin de la chanson. Le reste de la chanson (qui peut être un monologue intérieur) prend la forme d'un échange entre le couple, leurs espoirs de jeunesse brisés par l'alcoolisme et la toxicomanie.	4287	yes	Tout va bien ici.
Wu (1994), lors d’une étude de terrain dans la Kuan Kuo Shi Nature Reserve, dans la province du Koueitchéou (centre-sud de la Chine), rapporte la découverte de 11 nids dont la ponte varie de cinq à sept œufs couvés par les femelles seules pendant 23 jours. Les mâles étaient habituellement appariés à deux femelles.Liang et al. (2002), dans une intéressante étude par radio-émetteurs, dans la réserve de Kuankuoshui (province de Guizhou), ont montré que les femelles quittaient très peu leur nid durant les 23 jours d’incubation ; une seule fois pour deux des femelles marquées. Les femelles couvant n’étaient pas du tout farouches ; les auteurs citent même le cas de poules qu’ils ont touchées durant la couvaison, sans que celles-ci ne s’envolent ou quittent même le nid, et qu’il fallait déplacer à la main puis remettre dans le nid à fin de vérification des œufs. Aucun mâle ne se trouvait dans le voisinage immédiat du nid.	4402	yes	Tout va bien ici.
Elle est remarquable. Le mâle choisit une petite clairière du sous-bois pour y aménager une arène. À l’approche d’une femelle, il évolue lentement autour d’elle, caroncules et queue partiellement déployées tout en émettant de petits cris. Puis il déploie sa queue non pas en roue frontale comme chez le paon mais en un disque presque circulaire étroit et dressé dans l’axe du corps, les rectrices supérieures venant toucher le haut du dos. Cet éventail blanc, composé de près de 32 rectrices (le plus grand nombre chez les faisans), contraste alors violemment avec le noir bleuté du corps. Simultanément, il étale considérablement ses caroncules bleues qui s’allongent en haut et en bas en une sorte de double faucille. Au paroxysme de la parade, toute la face est masquée de bleu. Les rectrices externes terminées en brins nus touchent le sol de sorte qu’en se déplaçant parmi les feuilles sèches, le mâle produit un bruissement caractéristique, des feuilles restant même parfois empalées dans ces plumes filiformes. Ainsi paré, il se pavane en marchant lentement, la tête baissée, puis se fige, brusquement agité d’une secousse à l’approche d’une femelle. L’intensité de la parade semble liée à la proximité de la femelle car on assiste alors à un relâchement de l’érection des lobes supérieurs, reposant flasques sur la nuque lorsque la femelle s’éloigne.	4379	yes	Tout va bien ici.
De forme oblongue, Fais est un atoll surélevé, une plate-forme de carbonates poreuse d'une superficie de 2,8 km2 et d'une altitude maximale de 20 m, qui a peut-être émergé il y a 20 millions d'années,,. Un récif frangeant fait le tour d'environ les deux tiers de l'île et délimite un étroit lagon n'offrant donc qu'une faible faune marine. Ce récif est absent au nord-est et au sud-ouest, zones où la côte, ordinairement sous forme de plages de sable, s'élève en falaises,. Celles-ci sont percées de grottes formées par des écoulements anciens d'eau douce, et d'où la nappe phréatique s'épanche encore.	4298	yes	Tout va bien ici.
L'archéologue Michiko Intoh propose à la fin des années 1990 deux hypothèses. La première, qui a la faveur de la scientifique, est un déplacement depuis les îles Yap, à la lueur des vestiges archéologiques, d'un petit groupe humain qui adopte dans un second temps un langage venant de l'est, d'une nature totalement différente de celui de Yap. Une deuxième hypothèse, basée sur l'étude linguistique, propose une provenance depuis l'est du Pacifique des premières populations qui s'intègrent à des réseaux d'échanges avec les îles Yap. La première hypothèse ne convainc pas Paul Rainbird qui, en 2004, remarque que Fais est occupée bien après les îles voisines situées à l'ouest. Il pense que l'arrivée précoce des hommes à Fais tient à ce que la très grande majorité des atolls plus à l'est, qui ne sont occupés que quelques centaines d'années plus tard, n'étaient pas encore suffisamment émergés pour accueillir une population humaine. Quelques années plus tard, en 2011, Michiko Intoh ne propose plus qu'un mouvement humain en provenance de l'est conformément à l'approche linguistique, le mobilier archéologique témoignant des échanges avec l'ouest. Une étude des dermatoglyphes parue en 1972 n'a pas permis de distinguer des autres populations d'Océanie les populations d'Ulithi et de Fais, associées dans un même groupe par les chercheurs car partageant la même langue.	4309	yes	Tout va bien ici.
